rid,name,n_sel,val_loss,frac_selected,mean_pred_ebm,mean_pred_ebm_interp,mean_pred_lasso,mean_dclm_sel,mean_fwedu_sel
V0,random_seed42,91826,4.2505369415283205,0.1499993465931366,-0.007909725420176983,-0.006677253171801567,-0.008317451924085617,0.015785498645874613,1.1326203907390064
V1,dclm_top15,91827,4.348469745635986,0.15000098011029508,-0.0067622484639286995,-0.0046655600890517235,-0.003676960477605462,0.10140084451676058,1.5326537946355647
V2,fwedu_ge3,25649,4.536808208465576,0.0418980815974491,0.004442643374204636,0.006890445481985807,0.01128500048071146,0.0733715577512983,3.1075285586182697
V3,ebm_top15,91827,4.306389659881591,0.15000098011029508,0.03338688984513283,0.032977961003780365,0.013972806744277477,0.007258536298910045,1.3201563810208325
V4,ebm_interp_top15,91827,4.3053195114135745,0.15000098011029508,0.03289789333939552,0.033432718366384506,0.013700625859200954,0.0077464244082867525,1.3370577281191807
V5,lasso_top15,91827,4.341857486724853,0.15000098011029508,0.01919759251177311,0.019405215978622437,0.024568339809775352,0.015140422104384538,1.6091999085236368
V6,ebm_within_topic_top15,44360,4.3462988548278805,0.07246282114947336,0.033183179795742035,0.03195885568857193,0.013090139254927635,0.007966217725152255,1.3061541929666367
V7,random_seed43,91826,4.249168594360351,0.1499993465931366,-0.008131273090839386,-0.006892926059663296,-0.008450129069387913,0.016267308456549348,1.1281009735804675
V8,random_seed44,91826,4.33060168838501,0.1499993465931366,-0.008020206354558468,-0.006782990414649248,-0.00841787364333868,0.015917021500387415,1.1306274911245182
V9,ebm_top15_seed43,91827,4.304162334442139,0.15000098011029508,0.03338688984513283,0.032977961003780365,0.013972806744277477,0.007258536298910045,1.3201563810208325
